Service Request (SR) Number,SR Type Code,SR Description,Owning Department,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile,Calculated Council District
14-00105142,TRASIGMA,Traffic Signal - Maintenance,Transportation,Phone,Closed,05/31/2014 11:12:00 PM,05/31/2014 11:01:52 PM,05/31/2014 11:12:01 PM,05/31/2014 11:12:00 PM,"BUTTERCUP CREEK BLVD &S BELL BLVD, CEDAR PARK, TX",,BUTTERCUP CREEK BLVD &S BELL BLVD,CEDAR PARK,78613,WILLIAMSON,3088026.5,10156267,30.50479047,-97.81993242,"(30.50479047, -97.81993242)",,403B,ME42,
14-00105134,TRASIGMA,Traffic Signal - Maintenance,Transportation,Phone,Closed,05/31/2014 11:09:10 PM,05/31/2014 10:53:13 PM,05/31/2014 11:09:11 PM,05/31/2014 11:09:10 PM,"GUADALUPE ST &W 30TH ST, AUSTIN, TX",,GUADALUPE ST &W 30TH ST,AUSTIN,78705,TRAVIS,3114293.5,10081098,30.29650272,-97.74210516,"(30.29650272, -97.74210516)",9,585A,MJ24,9
14-00105143,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 11:02:26 PM,05/31/2014 11:02:26 PM,05/31/2014 11:02:26 PM,05/31/2014 11:02:26 PM,"5606 CHINA BERRY RD, AUSTIN, TX",5606,CHINA BERRY,AUSTIN,78744,TRAVIS,3117576.59355459,10043069.5902476,30.19175825,-97.73451998,"(30.19175825, -97.73451998)",2,645X,MJ16,2
14-00105140,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 11:01:31 PM,05/31/2014 11:01:31 PM,05/31/2014 11:01:31 PM,05/31/2014 11:01:31 PM,"913 FIELDWOOD DR, AUSTIN, TX",913,FIELDWOOD,AUSTIN,78758,TRAVIS,3128028,10108111,30.36986986,-97.69656966,"(30.36986986, -97.69656966)",4,496X,ML31,4
14-00105136,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 10:55:50 PM,05/31/2014 10:55:50 PM,05/31/2014 10:55:50 PM,05/31/2014 10:55:50 PM,"7409 MONTEZUMA ST, AUSTIN, TX",7409,MONTEZUMA,AUSTIN,78744,TRAVIS,3129332.40375748,10045657.1553421,30.19811048,-97.69712732,"(30.19811048, -97.69712732)",2,646T,ML16,2
14-00105130,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 10:40:30 PM,05/31/2014 10:40:30 PM,05/31/2014 10:42:03 PM,05/31/2014 10:40:30 PM,"5636 COLINTON AVE, AUSTIN, TX",5636,COLINTON,AUSTIN,78653,TRAVIS,3154375.79573917,10109953.6291478,30.37319062,-97.61290272,"(30.37319062, -97.61290272)",1,498X,MQ31,1
14-00105121,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 10:20:06 PM,05/31/2014 10:20:06 PM,05/31/2014 10:20:06 PM,05/31/2014 10:20:06 PM,"1400 E 51ST ST, AUSTIN, TX",1400,51ST,AUSTIN,78723,TRAVIS,3126364.48211721,10084906.3512596,30.30619246,-97.70358253,"(30.30619246, -97.70358253)",4,556S,ML25,4
14-00105117,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 10:11:31 PM,05/31/2014 10:11:31 PM,05/31/2014 10:11:31 PM,05/31/2014 10:11:31 PM,"S PLEASANT VALLEY RD & PALO BLANCO LN, AUSTIN, TX",,S PLEASANT VALLEY RD & PALO BLANCO LN,AUSTIN,78744,TRAVIS,3114343.8,10042682.15,30.19090047,-97.74477806,"(30.19090047, -97.74477806)",2,675A,MJ15,2
14-00105115,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Duplicate (open),05/31/2014 10:09:25 PM,05/31/2014 10:09:25 PM,05/31/2014 10:09:25 PM,,"5305 S PLEASANT VALLEY RD, AUSTIN, TX",5305,PLEASANT VALLEY,AUSTIN,78744,TRAVIS,3114379.79139815,10043904.7412826,30.19425887,-97.74457413,"(30.19425887, -97.74457413)",2,645W,MJ16,2
14-00105111,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 10:02:56 PM,05/31/2014 10:02:56 PM,05/31/2014 10:02:56 PM,05/31/2014 10:02:56 PM,"5500 CHINA BERRY RD, AUSTIN, TX",5500,CHINA BERRY,AUSTIN,78744,TRAVIS,3117219.52374257,10043257.1292468,30.19229669,-97.735636,"(30.19229669, -97.735636)",2,645X,MJ16,2
14-00105110,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,New,05/31/2014 09:59:25 PM,05/31/2014 09:59:25 PM,05/31/2014 09:59:25 PM,,"2628 CENTURY PARK BLVD, AUSTIN, TX",2628,CENTURY PARK,AUSTIN,78727,TRAVIS,3128521.79063996,10131272.7689659,30.43350553,-97.69326136,"(30.43350553, -97.69326136)",7,466B,ML36,7
14-00105108,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,New,05/31/2014 09:57:28 PM,05/31/2014 09:57:28 PM,05/31/2014 09:57:28 PM,,"5305 S PLEASANT VALLEY RD, AUSTIN, TX",5305,PLEASANT VALLEY,AUSTIN,78744,TRAVIS,3114379.79139815,10043904.7412826,30.19425887,-97.74457413,"(30.19425887, -97.74457413)",2,645W,MJ16,2
14-00105107,ACCOYTE,Coyote Complaints,Animal Services Office,Phone,New,05/31/2014 09:56:29 PM,05/31/2014 09:56:29 PM,05/31/2014 09:56:29 PM,,"DORMARION LN & MARGRANITA CRES, AUSTIN, TX",,DORMARION LN & MARGRANITA CRES,AUSTIN,78703,TRAVIS,3108279.5,10081111,30.29692219,-97.76115505,"(30.29692219, -97.76115505)",10,584C,MH24,10
14-00105102,ACCOYTE,Coyote Complaints,Animal Services Office,Phone,New,05/31/2014 09:48:56 PM,05/31/2014 09:48:56 PM,05/31/2014 09:48:56 PM,,"WINDSOR RD & DORMARION LN, AUSTIN, TX",,WINDSOR RD & DORMARION LN,AUSTIN,78703,TRAVIS,3107788.5,10079704,30.29308575,-97.76281343,"(30.29308575, -97.76281343)",10,584C,MH24,10
14-00105096,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 09:41:29 PM,05/31/2014 09:41:29 PM,05/31/2014 09:41:29 PM,05/31/2014 09:41:29 PM,"208 W 4TH ST, AUSTIN, TX",208,4TH,AUSTIN,78701,TRAVIS,3113572.09492836,10070251.7797596,30.26673428,-97.7451899,"(30.26673428, -97.7451899)",9,585W,MJ22,9
14-00105095,PRTRROWM,Tree Issue ROW/Maintenance (PARD),Parks & Recreation Department,Phone,New,05/31/2014 09:40:15 PM,05/31/2014 09:40:15 PM,05/31/2014 09:40:15 PM,,"4803 EILERS AVE, AUSTIN, TX",4803,EILERS,AUSTIN,78751,TRAVIS,3121257.40503031,10085968.0166353,30.30944172,-97.71968292,"(30.30944172, -97.71968292)",9,555Q,MK26,9
14-00105085,PRGRDELC,Park Maintenance - Grounds Electrical Issues,Parks & Recreation Department,Phone,Open,05/31/2014 09:23:14 PM,05/31/2014 09:23:14 PM,05/31/2014 09:38:29 PM,,"900 BARTON SPRINGS RD, AUSTIN, TX",900,BARTON SPRINGS,AUSTIN,78704,TRAVIS,3110999.40434516,10067617.5740435,30.25965755,-97.75353051,"(30.25965755, -97.75353051)",9,614D,MH21,9
14-00105076,PRGRDISS,Park Maintenance - Grounds,Parks & Recreation Department,Phone,Open,05/31/2014 09:13:42 PM,05/31/2014 09:13:42 PM,05/31/2014 09:26:59 PM,,"9117 ANDERSON MILL RD, AUSTIN, TX",9117,ANDERSON MILL,AUSTIN,78729,WILLIAMSON,3100825.04095255,10137250.3184114,30.45171428,-97.78068758,"(30.45171428, -97.78068758)",6,434P,MG38,6
14-00105074,PARMACIS,Parking Machine Issue,Transportation,Phone,New,05/31/2014 09:12:40 PM,05/31/2014 09:12:40 PM,05/31/2014 09:12:40 PM,,,,,,,,,,,,,,,,
14-00105064,PRCEMET1,Park Maintenance - Cemeteries,Parks & Recreation Department,Phone,Open,05/31/2014 08:55:16 PM,05/31/2014 08:55:16 PM,05/31/2014 09:10:16 PM,,"1600 COMAL ST, AUSTIN, TX",1600,COMAL,AUSTIN,78702,TRAVIS,3119930.37170265,10074156.1557518,30.27705847,-97.72476485,"(30.27705847, -97.72476485)",1,585Q,MK23,1
14-00105072,ACPROPER,Animal - Proper Care,Animal Services Office,Phone,New,05/31/2014 09:07:56 PM,05/31/2014 09:07:56 PM,05/31/2014 09:07:56 PM,,"1718 ROCKBRIDGE TER B, AUSTIN, TX",1718,ROCKBRIDGE,AUSTIN,78741,TRAVIS,3116037.46611808,10057507.3551865,30.23154398,-97.73832431,"(30.23154398, -97.73832431)",3,615X,MJ19,3
14-00105068,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 09:02:31 PM,05/31/2014 09:02:31 PM,05/31/2014 09:02:31 PM,,"2412 ELMGLEN DR, AUSTIN, TX",2412,ELMGLEN,AUSTIN,78704,TRAVIS,3101776.7738066,10063354.2932726,30.24852308,-97.78304403,"(30.24852308, -97.78304403)",5,614J,MG20,5
14-00105066,CODECOMP,Code Compliance,Code Compliance,Web,New,05/31/2014 08:56:31 PM,05/31/2014 08:56:31 PM,05/31/2014 08:56:31 PM,,"S CONGRESS AVE & SHERATON AVE, AUSTIN, TX 78745",,S CONGRESS AVE & SHERATON AVE,AUSTIN,78745,TRAVIS,3106559.75,10051326,30.21515671,-97.7687784,"(30.21515671, -97.7687784)",3,644G,MH18,3
14-00105063,PARMACIS,Parking Machine Issue,Transportation,Phone,New,05/31/2014 08:55:15 PM,05/31/2014 08:55:15 PM,05/31/2014 08:55:38 PM,,,,,,,,,,,,,,,,
14-00105058,STREETL2,Street Light Issue- Address,Austin Energy Department,Phone,New,05/31/2014 08:42:40 PM,05/31/2014 08:42:40 PM,05/31/2014 08:42:40 PM,,"3601 SAND DUNES AVE, AUSTIN, TX",3601,SAND DUNES,AUSTIN,78744,TRAVIS,3130757.83943546,10046165.6064015,30.19941516,-97.69257835,"(30.19941516, -97.69257835)",2,646T,ML16,2
14-00105056,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 08:40:53 PM,05/31/2014 08:40:53 PM,05/31/2014 08:40:53 PM,05/31/2014 08:40:53 PM,"2201 E STASSNEY LN, AUSTIN, TX",2201,STASSNEY,AUSTIN,78744,TRAVIS,3110506.6940575,10043679.6628497,30.19388738,-97.75684664,"(30.19388738, -97.75684664)",2,644Z,MH16,2
14-00105052,TRASIGNE,Traffic Signal - New/Change,Transportation,Phone,New,05/31/2014 08:36:09 PM,05/31/2014 08:36:09 PM,05/31/2014 08:36:09 PM,,"OHLEN RD & CONTOUR DR, AUSTIN, TX",,OHLEN RD & CONTOUR DR,AUSTIN,78757,TRAVIS,3120946.25,10105361,30.36277007,-97.71922464,"(30.36277007, -97.71922464)",7,525C,MK30,7
14-00105044,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 08:25:28 PM,05/31/2014 08:25:28 PM,05/31/2014 08:25:28 PM,05/31/2014 08:25:28 PM,"ROTAN DR & SIRINGO PASS, AUSTIN, TX",,ROTAN DR & SIRINGO PASS,AUSTIN,78749,TRAVIS,3072483.75,10052465,30.22040215,-97.87655465,"(30.22040215, -97.87655465)",8,641H,MB18,8
14-00105043,CODECOMP,Code Compliance,Code Compliance,Web,New,05/31/2014 08:25:16 PM,05/31/2014 08:25:16 PM,05/31/2014 08:25:16 PM,,"MULLEN DR & WOOTEN PARK DR, AUSTIN, TX 78757",,MULLEN DR & WOOTEN PARK DR,AUSTIN,78757,TRAVIS,3119027.25,10102314,30.35451817,-97.72553415,"(30.35451817, -97.72553415)",7,525L,MK29,7
14-00105037,ACPROPER,Animal - Proper Care,Animal Services Office,Phone,New,05/31/2014 08:06:15 PM,05/31/2014 08:06:15 PM,05/31/2014 08:06:15 PM,,"COOING CT & TURNSTONE DR, AUSTIN, TX",,COOING CT & TURNSTONE DR,AUSTIN,78744,TRAVIS,3114130.75,10041149,30.18669974,-97.74556509,"(30.18669974, -97.74556509)",2,675A,MJ15,2
14-00105035,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 08:03:24 PM,05/31/2014 08:03:24 PM,05/31/2014 08:03:24 PM,05/31/2014 08:03:24 PM,"7913 CAHILL DR, AUSTIN, TX",7913,CAHILL,AUSTIN,78729,WILLIAMSON,3104976.20939503,10136484.6071617,30.44934687,-97.76757257,"(30.44934687, -97.76757257)",6,434U,MH37,6
14-00105034,ACBITE2,Animal Bite,Animal Services Office,Phone,Open,05/31/2014 08:02:06 PM,05/31/2014 08:02:06 PM,05/31/2014 08:02:06 PM,,"2409 VESTAVIA RIDGE LN, CEDAR PARK, TX",2409,VESTAVIA RIDGE,CEDAR PARK,78613,TRAVIS,3081201.55313775,10139680.9545482,30.45961886,-97.84277833,"(30.45961886, -97.84277833)",,432M,MD38,
14-00104928,COAFAR,Found Animal Report - Keep,Animal Services Office,Phone,Closed,05/31/2014 07:57:46 PM,05/31/2014 05:24:05 PM,05/31/2014 07:57:47 PM,05/31/2014 07:57:46 PM,"ZEPPELIN DR & SUN CHASE BLVD, CEDAR PARK, TX",,ZEPPELIN DR & SUN CHASE BLVD,CEDAR PARK,78613,WILLIAMSON,3078784.23999999,10149046.65,30.48551303,-97.84978527,"(30.48551303, -97.84978527)",,402Q,MD41,
14-00105026,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 07:53:02 PM,05/31/2014 07:53:02 PM,05/31/2014 07:53:02 PM,05/31/2014 07:53:02 PM,"2201 E STASSNEY LN, AUSTIN, TX",2201,STASSNEY,AUSTIN,78744,TRAVIS,3110506.6940575,10043679.6628497,30.19388738,-97.75684664,"(30.19388738, -97.75684664)",2,644Z,MH16,2
14-00104552,COAFAR,Found Animal Report - Keep,Animal Services Office,Phone,Closed,05/31/2014 07:49:44 PM,05/31/2014 10:00:43 AM,05/31/2014 07:49:44 PM,05/31/2014 07:49:44 PM,"9408 BIG VIEW DR, AUSTIN, TX",9408,BIG VIEW,AUSTIN,78730,TRAVIS,3076529.5,10103217,30.3596688,-97.86017643,"(30.3596688, -97.86017643)",6,522F,MC30,6
14-00105016,SIGNTRAF,Sign - Traffic Sign Emergency,Transportation,Phone,Closed,05/31/2014 07:46:49 PM,05/31/2014 07:35:54 PM,05/31/2014 07:46:50 PM,05/31/2014 07:46:49 PM,"SYLVAN GLADE & CLAWSON RD, AUSTIN, TX",,SYLVAN GLADE & CLAWSON RD,AUSTIN,78745,TRAVIS,3100745.75,10054477,30.22418556,-97.78695195,"(30.22418556, -97.78695195)",5,644A,MG18,5
14-00105017,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 07:36:55 PM,05/31/2014 07:36:55 PM,05/31/2014 07:36:55 PM,05/31/2014 07:36:55 PM,"1206 RADCLIFF DR, AUSTIN, TX",1206,RADCLIFF,AUSTIN,78752,TRAVIS,3129324.32528952,10093192.1917007,30.32877607,-97.69358266,"(30.32877607, -97.69358266)",4,556B,ML27,4
14-00105014,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 07:34:53 PM,05/31/2014 07:34:53 PM,05/31/2014 07:34:53 PM,,"1202 RADCLIFF DR B, AUSTIN, TX",1202,RADCLIFF,AUSTIN,78752,TRAVIS,3129295.76364832,10093209.5135819,30.32882555,-97.69367187,"(30.32882555, -97.69367187)",4,556B,ML27,4
14-00105011,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,New,05/31/2014 07:30:29 PM,05/31/2014 07:30:29 PM,05/31/2014 07:30:29 PM,,"10117 DIAMONDBACK TRL, AUSTIN, TX",10117,DIAMONDBACK,AUSTIN,78753,TRAVIS,3131722.75,10107203,30.36713261,-97.68492544,"(30.36713261, -97.68492544)",4,526C,MM30,4
14-00105006,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 07:20:54 PM,05/31/2014 07:20:54 PM,05/31/2014 07:20:54 PM,05/31/2014 07:20:54 PM,"421 THOMPSON LN, AUSTIN, TX",421,THOMPSON,AUSTIN,78742,TRAVIS,3133689.26891539,10061054.9031799,30.2401512,-97.68217867,"(30.2401512, -97.68217867)",3,616Q,MM20,3
14-00100265,ACFOUND,Found Animal - Pick Up,Animal Services Office,Phone,Closed,05/31/2014 08:03:56 PM,05/25/2014 05:21:37 PM,05/31/2014 07:06:02 PM,05/31/2014 08:03:56 PM,"9500 DESSAU RD 11 1124, AUSTIN, TX",9500,DESSAU,AUSTIN,78753,TRAVIS,3134930.72627557,10101884.8597611,30.35230362,-97.67515905,"(30.35230362, -97.67515905)",4,526M,MM29,4
14-00104972,PARMACIS,Parking Machine Issue,Transportation,Phone,Open,05/31/2014 07:04:37 PM,05/31/2014 06:18:13 PM,05/31/2014 07:04:38 PM,,"W 4TH ST & GUADALUPE ST, AUSTIN, TX",,W 4TH ST & GUADALUPE ST,AUSTIN,78701,TRAVIS,3113007.5,10070402,30.26718332,-97.74696678,"(30.26718332, -97.74696678)",9,585W,MJ22,9
14-00104995,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,05/31/2014 06:58:55 PM,05/31/2014 06:58:55 PM,05/31/2014 06:58:55 PM,,"4613 MUSKDEER DR, AUSTIN, TX",4613,MUSKDEER,AUSTIN,78749,TRAVIS,3079041.45534935,10046953.5096753,30.20485177,-97.85618599,"(30.20485177, -97.85618599)",8,642P,MC17,8
14-00104986,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 06:40:48 PM,05/31/2014 06:40:48 PM,05/31/2014 06:40:48 PM,05/31/2014 06:40:48 PM,"8901 BRIARDALE DR, AUSTIN, TX",8901,BRIARDALE,AUSTIN,78758,TRAVIS,3122325.00070886,10106035.9467863,30.36453624,-97.71480377,"(30.36453624, -97.71480377)",4,525D,MK30,4
14-00104981,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 06:37:42 PM,05/31/2014 06:37:42 PM,05/31/2014 06:37:42 PM,05/31/2014 06:37:42 PM,"7600 URAY DR, AUSTIN, TX",7600,URAY,AUSTIN,78724,TRAVIS,3141942.60366116,10088775.9025669,30.31580709,-97.65393579,"(30.31580709, -97.65393579)",1,557K,MN26,1
14-00104977,PRMTPOOL,Park Maintenance - Pool Issues,Parks & Recreation Department,Phone,Open,05/31/2014 06:30:35 PM,05/31/2014 06:30:35 PM,05/31/2014 06:30:35 PM,,"1180 CURVE ST, AUSTIN, TX",1180,CURVE,AUSTIN,78702,TRAVIS,3118420.74062504,10071879.7725,30.2708983,-97.72971476,"(30.2708983, -97.72971476)",1,585T,MJ22,1
14-00104974,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 06:27:11 PM,05/31/2014 06:27:11 PM,05/31/2014 06:27:11 PM,,"9601 POINT VISTA PL B, AUSTIN, TX",9601,POINT VISTA,AUSTIN,78753,TRAVIS,3134362.04736449,10103202.9628845,30.3559642,-97.6768617,"(30.3559642, -97.6768617)",4,526H,MM30,4
14-00104971,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 06:17:58 PM,05/31/2014 06:17:58 PM,05/31/2014 06:17:58 PM,,"9123 TEXAS SUN DR, AUSTIN, TX",9123,TEXAS SUN,AUSTIN,78748,TRAVIS,3092234.28831536,10037816.0262377,30.17891951,-97.81508833,"(30.17891951, -97.81508833)",5,673K,ME14,5
14-00104967,MOWINGME,Mowing Medians,Public Works,Phone,New,05/31/2014 06:09:19 PM,05/31/2014 06:09:19 PM,05/31/2014 06:09:19 PM,,"ROUNTREE DR & HIGGINS ST, AUSTIN, TX",,ROUNTREE DR & HIGGINS ST,AUSTIN,78722,TRAVIS,3125496.5,10076356,30.2827454,-97.70697198,"(30.2827454, -97.70697198)",1,586J,ML23,1
14-00104964,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 06:03:28 PM,05/31/2014 06:03:28 PM,05/31/2014 06:03:28 PM,,"1124 RUTLAND DR 2, AUSTIN, TX",1124,RUTLAND,AUSTIN,78758,TRAVIS,3125762.18798025,10107563.8334788,30.36851324,-97.70379357,"(30.36851324, -97.70379357)",4,496W,ML31,4
14-00104961,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,New,05/31/2014 06:02:02 PM,05/31/2014 06:02:02 PM,05/31/2014 06:02:02 PM,,"11205 MC KINNEY SPRING DR, AUSTIN, TX",11205,MC KINNEY SPRING,AUSTIN,78717,WILLIAMSON,3095993.63703452,10151603.3376537,30.49147314,-97.79497767,"(30.49147314, -97.79497767)",6,403M,MF41,6
14-00104960,ARRBRUBU,ARR Brush and Bulk,Austin Resource Recovery,Phone,New,05/31/2014 06:00:42 PM,05/31/2014 06:00:42 PM,05/31/2014 06:00:42 PM,,"2423 LAVENDALE CT, AUSTIN, TX",2423,LAVENDALE,AUSTIN,78748,TRAVIS,3084308.01627023,10030201.2836409,30.15847839,-97.84070658,"(30.15847839, -97.84070658)",5,672Z,MD13,5
14-00104957,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 05:58:32 PM,05/31/2014 05:58:32 PM,05/31/2014 05:58:32 PM,05/31/2014 05:58:32 PM,"2900 NORWICH CV, AUSTIN, TX",2900,NORWICH,AUSTIN,78723,TRAVIS,3133194.5,10083327,30.30140538,-97.68206421,"(30.30140538, -97.68206421)",1,556Y,MM25,1
14-00104955,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,New,05/31/2014 05:56:47 PM,05/31/2014 05:56:47 PM,05/31/2014 05:56:47 PM,,"1409 REDD ST, AUSTIN, TX",1409,REDD,AUSTIN,78745,TRAVIS,3101639.46975138,10054548.2906906,30.22432525,-97.7841178,"(30.22432525, -97.7841178)",5,644A,MG18,5
14-00104954,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 05:56:12 PM,05/31/2014 05:56:12 PM,05/31/2014 05:56:12 PM,05/31/2014 05:56:12 PM,"7600 URAY DR, AUSTIN, TX",7600,URAY,AUSTIN,78724,TRAVIS,3141942.60366116,10088775.9025669,30.31580709,-97.65393579,"(30.31580709, -97.65393579)",1,557K,MN26,1
14-00104942,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 05:41:24 PM,05/31/2014 05:41:24 PM,05/31/2014 05:41:24 PM,,"615 W SLAUGHTER LN, AUSTIN, TX",615,SLAUGHTER,AUSTIN,78748,TRAVIS,3096807.38490193,10035880.9855346,30.17331492,-97.80075882,"(30.17331492, -97.80075882)",5,673R,MF14,5
14-00104940,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 05:36:25 PM,05/31/2014 05:36:25 PM,05/31/2014 05:36:25 PM,,"8903 PINERIDGE DR, AUSTIN, TX",8903,PINERIDGE,AUSTIN,78729,WILLIAMSON,3101913.61847197,10137010.6790602,30.45098682,-97.77725115,"(30.45098682, -97.77725115)",6,434P,MG38,6
